country,code,electricity_consumption,country_flag,series_id
China,CH,6453,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/CH-flag.gif,INTL.2-2-CHN-BKWH.A
United States,US,3989.566,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/US-flag.gif,INTL.2-2-USA-BKWH.A
India,IN,1277,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/IN-flag.gif,INTL.2-2-IND-BKWH.A
Japan,JA,902.842,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/JA-flag.gif,INTL.2-2-JPN-BKWH.A
Russia,RS,965.156,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/RS-flag.gif,INTL.2-2-RUS-BKWH.A
Germany,GM,524.268,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/GM-flag.gif,INTL.2-2-DEU-BKWH.A
Canada,CA,549.263,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/CA-flag.gif,INTL.2-2-CAN-BKWH.A
Brazil,BR,597.234,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/BR-flag.gif,INTL.2-2-BRA-BKWH.A
South Korea,KS,527.035,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/KS-flag.gif,INTL.2-2-KOR-BKWH.A
France,FR,449.422,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/FR-flag.gif,INTL.2-2-FRA-BKWH.A
United Kingdom,UK,300.52,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/UK-flag.gif,INTL.2-2-GBR-BKWH.A
Saudi Arabia,SA,322.372,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/SA-flag.gif,INTL.2-2-SAU-BKWH.A
Italy,IT,297.15,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/IT-flag.gif,INTL.2-2-ITA-BKWH.A
Mexico,MX,267.91,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/MX-flag.gif,INTL.2-2-MEX-BKWH.A
Spain,SP,241.563,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/SP-flag.gif,INTL.2-2-ESP-BKWH.A
Taiwan,TW,237.557,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/TW-flag.gif,INTL.2-2-TWN-BKWH.A
Iran,IR,254.724,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/IR-flag.gif,INTL.2-2-IRN-BKWH.A
Turkey,TU,251.376,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/TU-flag.gif,INTL.2-2-TUR-BKWH.A
Australia,AS,241.02,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/AS-flag.gif,INTL.2-2-AUS-BKWH.A
Indonesia,ID,263.139,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/ID-flag.gif,INTL.2-2-IDN-BKWH.A
South Africa,SF,210.304,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/SF-flag.gif,INTL.2-2-ZAF-BKWH.A
Thailand,TH,185.852,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/TH-flag.gif,INTL.2-2-THA-BKWH.A
Egypt,EG,150.579,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/EG-flag.gif,INTL.2-2-EGY-BKWH.A
Poland,PL,152.573,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/PL-flag.gif,INTL.2-2-POL-BKWH.A
Vietnam,VM,216.994,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/VM-flag.gif,INTL.2-2-VNM-BKWH.A
Malaysia,MY,147.209,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/MY-flag.gif,INTL.2-2-MYS-BKWH.A
Sweden,SW,131.798,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/SW-flag.gif,INTL.2-2-SWE-BKWH.A
Ukraine,UP,128.806,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/UP-flag.gif,INTL.2-2-UKR-BKWH.A
Norway,NO,124.127,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/NO-flag.gif,INTL.2-2-NOR-BKWH.A
Argentina,AR,125.03,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/AR-flag.gif,INTL.2-2-ARG-BKWH.A
United Arab Emirates,AE,119.455,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/AE-flag.gif,INTL.2-2-ARE-BKWH.A
Netherlands,NL,110.682,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/NL-flag.gif,INTL.2-2-NLD-BKWH.A
Kazakhstan,KZ,91.668,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/KZ-flag.gif,INTL.2-2-KAZ-BKWH.A
Pakistan,PK,90,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/PK-flag.gif,INTL.2-2-PAK-BKWH.A
Finland,FI,84.207,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/FI-flag.gif,INTL.2-2-FIN-BKWH.A
