Miner_name,UNIX_date_of_release,Efficiency_J_Gh,Qty
Worst CPU,1230000000,100000,1000
Best CPU,1260000000,10000,1000
Worst GPU,1280000000,10000,1000
Best GPU,1290000000,1000,1000
FPGA,1310000000,100,1000
early ASICS,1360000000,10,1000
Bitmain Antminer S3,1404172800,0.76569,20000
Bitmain Antminer S5,1417392000,0.51082,20000
Bitmain Antminer S7,1441065600,0.27336,129610
Bitmain Antminer S9 (11.5Th),1464739200,0.098,1000
Bitmain Antminer S7-LN,1464739200,0.25815,129000
Bitmain Antminer R4,1485907200,0.09713,1000
Bitmain Antminer S9 (12.5Th),1485907200,0.098,50000
Bitmain Antminer T9 (11.5Th),1491004800,0.12609,554000
Canaan AvalonMiner 741,1491004800,0.15753,89826
Bitmain Antminer S9 (13Th),1498867200,0.1,50000
Bitmain Antminer T9 (12.5Th),1501545600,0.12608,1015040
Bitmain Antminer S9 (13.5Th),1504224000,0.098,554000
Pantech SX6,1504224000,0.11765,1000
Bitmain Antminer S9 (14Th),1509494400,0.098,390400
Bitfury B8,1512086400,0.13061,50000
Ebang Ebit E9+,1514764800,0.14444,1000
Bitmain Antminer T9+ (10.5Th),1514764800,0.13638,1015040
MicroBT Whatsminer M3,1514764800,0.16667,95000
Bitfily Snow Panther A1,1514764800,0.1102,1000
Pantech WX6,1514764800,0.14706,1000
Ebang Ebit E10,1517443200,0.09167,67455
Canaan AvalonMiner 821,1517443200,0.10435,95000
Bitmain Antminer V9 (4Th),1519862400,0.25675,1000
MicroBT Whatsminer M3X,1519862400,0.164,1000
Halong Mining DragonMint T1,1522540800,0.0925,67455
Canaan AvalonMiner 841,1522540800,0.09485,1000
ASICminer 8 Nano Pro,1525132800,0.05263,1000
Innosilicon T2 Terminator,1525132800,0.09128,10000
Bitmain Antminer S9i (14Th),1525132800,0.09429,624000
Bitmain Antminer S9i (13.5Th),1525132800,0.09704,10000
Bitmain Antminer S9i (13Th),1525132800,0.09846,83125
Ebang Ebit E9.2,1525132800,0.11,83125
Ebang Ebit E9.3,1525132800,0.11,1000
Bitfily Snow Panther B1,1530403200,0.08625,1000
Aladdin Miner 16Th/s Bitcoin,1530403200,0.0875,1000
Ebang Ebit E9i,1530403200,0.10519,10000
Innosilicon T2 Turbo,1533081600,0.0825,1000
Bitfily Snow Panther B1+,1533081600,0.08571,390400
Bitmain Antminer S9j (14.5Th),1533081600,0.0931,10000
Bitmain Antminer S9 Hydro (18Th),1533081600,0.096,1000
MicroBT Whatsminer M10S,1535760000,0.06364,67455
MicroBT Whatsminer M10,1535760000,0.065,1000
Innosilicon T2 Turbo+ 32T,1535760000,0.06875,1000
Canaan AvalonMiner 921,1535760000,0.085,1000
Ebang Ebit E11++,1538352000,0.045,1000
ASICminer 8 Nano 44Th,1538352000,0.04773,10000
Ebang Ebit E11+,1538352000,0.055,10000
Ebang Ebit E11,1538352000,0.065,10000
GMO miner B2,1538352000,0.08125,1000
Bitfury Tardis,1541030400,0.07875,50000
Bitmain Antminer S11 (20.5Th),1541030400,0.07463,50000
GMO miner B3,1541030400,0.10355,1000
Holic H22,1543622400,0.07727,1000
Holic H28,1543622400,0.075,1000
Innosilicon T3 43T,1546300800,0.04884,1000
Innosilicon T3 39T,1551398400,0.05513,1000
Bitmain Antminer S17 Pro (53Th),1554076800,0.03951,50000
Bitmain Antminer S17 Pro (50Th),1554076800,0.0395,50000
Bitmain Antminer S17 (56Th),1554076800,0.045,50000
Bitmain Antminer S17 (53Th),1554076800,0.045,50000
Innosilicon T3+ 52T,1556668800,0.04231,10000
Bitmain Antminer T17 (40Th),1556668800,0.055,1000
MicroBT Whatsminer M21S,1559347200,0.06,1000
StrongU STU-U8,1561939200,0.04565,1000
Innosilicon T3,1561939200,0.062,1000
Bitmain Antminer S9 SE,1561939200,0.08,1000
MicroBT Whatsminer M21,1564617600,0.06,1000
MicroBT Whatsminer M20S,1564617600,0.04941,1000
Bitmain Antminer S9k,1564617600,0.09704,1000
StrongU STU-U8 Pro,1567296000,0.04667,1000
Ebang Ebit E12+,1567296000,0.05,1000
Innosilicon T3+,1567296000,0.05789,1000
Ebang Ebit E12,1567296000,0.05682,1000
Canaan AvalonMiner 1066,1567296000,0.065,1000
Canaan AvalonMiner 1047,1567296000,0.06432,1000
Bitmain Antminer S17e,1572566400,0.045,1000
Bitmain Antminer T17e,1572566400,0.055,1000
Bitmain Antminer S17+,1575158400,0.04,1000
Bitmain Antminer T17+,1575158400,0.05,1000
ASICminer 8 Nano S 58Th,1575158400,0.0431,1000
MicroBT Whatsminer M30S,1585699200,0.038,1000
MicroBT Whatsminer M31S,1585699200,0.046,1000
Bitmain Antminer S19 Pro (110Th),1588291200,0.02955,1000
Bitmain Antminer S19 (95Th),1588291200,0.03421,1000
